旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
澎湖福朋喜來登酒店,"3,972","55,062",45.45%,"3,078","169,488,848","172,397,326","390,696,415",60,63,49,6,178
*瓏山林台北中和飯店,"1,512","7,013",15.21%,"2,179","15,284,195","37,024,644","63,995,880",23,50,16,9,98
*碧特弗大飯店,648,"2,298",11.63%,"2,572","5,911,472","1,055,068","6,966,540",6,3,4,0,13
*美麗春天大飯店,408,"1,417",11.39%,"2,598","3,681,040","1,253,592","4,934,632",6,3,3,0,12
*遠百企業觀光旅館,480,513,3.50%,"1,007","516,400",0,"516,400",11,2,10,0,23
*幼獅大飯店,658,"4,745",23.64%,"1,392","6,606,100",0,"6,983,720",2,0,4,4,10
*山泉大飯店,"1,752","31,658",59.24%,"1,970","62,374,777","10,328,780","76,492,754",25,7,3,0,35
*悅川酒店,"1,236","25,990",68.94%,"3,433","89,211,059","71,401,621","160,612,680",32,38,26,0,96
*台東桂田喜來登酒店,"3,360","56,671",55.30%,"2,962","167,855,583","168,887,075","365,582,443",38,76,47,15,176
*長榮桂冠酒店(基隆),"1,680","29,240",57.06%,"2,779","81,270,618","49,982,848","158,166,392",35,25,16,6,82
*鈺通大飯店,"1,440","11,253",25.62%,"1,966","22,127,823","53,236,109","75,580,654",21,32,6,3,62
*寶華大飯店,936,"7,216",25.28%,"2,135","15,408,066","126,120","15,558,186",13,0,4,0,17
*陸島酒店,564,"6,273",36.47%,"1,374","8,620,918","1,005,840","9,643,595",8,2,3,0,13
總計,"339,248","4,017,152",38.78%,"438,049","14,483,909,609","20,883,915,285","40,492,457,303","6,757","10,888","3,930","2,929","24,504"
